IBU,alcohol,country,detail,image,importer,name_en,name_ko,producers_en,producers_ko,style_en,style_ko
25,4.8도,독일,"에일 효모를 이용한 맥주. 에일 맥주의 고유의 청사과, 꽃, 허니 등의 고급스러운 풍미를 지니며, 장기간 저온숙성을 거쳐 필스너 맥주와 같이 곡물의 고소함, 시원한 목넘김을 동시에 느낄 수 있는 마시기 편한 라이트에일 계열의 맥주이다. ‘쾰쉬(K?lsch)'는 원산지 보호를 받는 오직 독일 쾰른 지역에서만 생산되는 매우 특별한 맥주이며, 가펠쾰쉬는 쾰른을 상징하는 대표브랜드이다.  
병 330㎖  3,500원  도아인터내셔널
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500001.jpg?697834,도아인터내셔널,Gaffel Kolsch,가펠 쾰쉬,Brivatbrauerei Gaffel Becker & Company,프라이빗 브루어리 가펠 베커 앤 컴퍼니,Kolsch,쾰쉬
10,4.7도,독일,"최고급 와인 산지로 유명한 미국북서부 지역의 야키마벨리에서 생산되는 시트라 홉의 산뜻한 과일 향과 가펠쾰쉬만의 풍부한 아로마, 부드러운 목넘김을 가지며 술을 잘 못하는 사람도 부담없이 즐길 수 있는 맥주이다.
야키마벨리에서 많이 볼 수 있는 밤비가 제품의 트레이드 마크로 ‘밤비맥주’라고 불리기도 한다.  
병 330㎖  3,800원  도아인터내셔널
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500003.jpg?731638,도아인터내셔널,Gaffels Sonnen Hopfen,가펠 소넨 호펜,Brivatbrauerei Gaffel Becker & Company,프라이빗 브루어리 가펠 베커 앤 컴퍼니,Kolsch,쾰쉬
45,4.5도,미국,"맑은 황금빛 색을 띄우며, 거품이 풍성하게 쌓이는게 특징이다. 싱그러운 시트러스, 자몽, 열대과일 등을 시작하여, 파이니한 홉, 몰트의 달달한 향으로 이어진다. 입안에 전체적인 과일같은 홉의 향이 퍼지며, 약한 쓴 맛과 몰트의 달콤한 비스킷 같은 단맛으로 마무리 된다. 세션 IPA 라고 해서, '너무 가볍지 않을 까?'하는 생각을 하는데, 이 샘스에일은 전혀 그런 단점들을 보완해 '데일리 비어'를 장점을 높힌 맥주이다  
병 355㎖  3,500원  엘티케이
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500006.jpg?739468,엘티케이,Sam's Ale,샘스 에일,Saugatuck Brewing Company,소가턱 브루잉 컴퍼니,Session India Pale Ale,세션 인디아 페일 에일
26,6도,미국,"단연 블루베리 향이 강하게 나며, 잘 볶은 커피향 과 초콜릿이 뒤를 따른다. 굉장히 신선한 블루베리의 향이 입안에 기분 좋게 퍼지며, 스타우트 특징인 초콜릿, 커피, 바닐라 등의 캐릭터 하나하나가 느껴진다. 블루베리 맥주는 간간이 제조 되었지만, 블루베리 스타우트는 시중에 흔치 않는 맥주로 블루베리와 스타우트의 조합으로 흑맥주의 쓴맛을 적절히 완화한 맥주이다.  
병 355㎖  3,500원  엘티케이
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500007.jpg?734774,엘티케이,Harry's Stout,해리스 스타우트,Saugatuck Brewing Company,소가턱 브루잉 컴퍼니,Stout,스타우트
30,5.1도,독일,"일반적인 메르첸 스타일과 같이 짙은 붉은색의 하면 발효 맥주로 수세기에 걸쳐 생산되고 있으며, 훈연 맥아를 사용하여 구리양조조에서 생산되는 가장 전통적인 방식의 훈연맥주이다. 메르첸은 3월이라는 뜻의 독일어로 인공적인 냉각 시설이 발명 되기 전, 더운 계절을 견딜 수 있도록 약간 높은 도수로 양조 되었던 맥주를 일컫는 말이다.  
병 500㎖  7,500 ~ 8,500원  도아인터내셔널
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500005.jpg?744115,도아인터내셔널,Schlenkerla Marzen,슈렝케를라 메르첸,Heller-Brau Trum GmbH,헬러브라우 트럼 지엠비에이치,Lager,라거
35,5.7도,미국,"열대과일, 시트러스 계열 홉 향에 적당히 달콤한 몰트도 감지 된다. 입 안에서는 기분 좋은 과일의 향이 폭탄처럼 터지며 약한 비터와 고소한 몰트로 마무리 된다. 샌디에이고의 시원한 바다 레이블에서 느끼는 크래프트 맥주의 향과 정서가 담긴 페일 에일로 예전 보다 더 균형 잡힌 맥주로 리뉴얼되어 재탄생 하였다.  
병 355㎖  3,500원  엘티케이
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500008.jpg?804224,엘티케이,Twisted Manzanita Pale Ale,트위스티드 맨자니타 페일에일,Saugatuck Brewing Company,소가턱 브루잉 컴퍼니,Pale Ale,페일 에일
17,5도,체코,"잘익은 바나나의 달콤한 아로마와 스페셜 이스트의 조화로 부드럽고 진한 밀맥주의 풍미를 보여주는 맥주이다. 여성 추천에게 추천하는 맥주이다.  
병 330㎖  4,000 ~ 5,000원  체코비어인터내셔널
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500012.jpg?817070,체코비어인터내셔널,Primator Weizen,프리마토 바이젠,Primator,프리마토,Weizen,바이젠
90,9.7도,미국,"귤, 오렌지, 자몽, 패션 프룻, 망고, 파인애플 등 폭 넓은 과일의 캐릭터가 감지되며, 약간의 파이니(송진)한 향과 몰트도 느껴진다. 입 안에도 홉 향이 가득 퍼지고 쓴 맛, 단맛이 느껴진다. 이름 그래도 엄청난 홉의 들어간 더블 IPA지만, IBU(쓴맛) 조절로 예전 제품보다 음용 하기 편하게 리뉴얼 되었다.  
병 355㎖  3,500원  엘티케이
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500009.jpg?751833,엘티케이,Twisted Manzanita Double IPA,트위스티드 맨자니타 더블아이피에이,Saugatuck Brewing Company,소가턱 브루잉 컴퍼니,Double India Pale Ale,더블 인디아 페일 에일
60,6.5도,체코,"IPA 특유의 맛과 강렬한 풍미가 은은하게 다가오는 한국에 처음 선보인 체코산 IPA 맥주이다. 남성에게 추천하는 맥주이다.  
병 500㎖  6,000 ~ 7,000원  체코비어인터내셔널
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500014.jpg?824984,체코비어인터내셔널,Primator IPA,프리마토 아이피에이,Primator,프리마토,India Pale Ale(IPA),인디아 페일 에일
27,5도,체코,"적절한 자극을 주는 쌉쌀함과 청량감, 그리고 고급스러운 싸지홉의 순수한 아로마를 차례로 느낄 수 있는 프리마토 대표 맥주 이다.  
병 330㎖  3,600원  체코비어인터내셔널
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500018.jpg?363949,체코비어인터내셔널,Premium Lager,프리미엄 라거,Primator,프리마토,Pale Lager,페일 라거
